id,categoryname,en,ja,jaji,zh,zhji,ko,koji,de,ru,ruji,fr,es,it,ta,taji,te,teji,kn
22,Feelings,happiness,幸福,kōfuku,幸福,xìngfú,행복,haengbog,das Glück,счастье,schast'ye,le bonheur,la suerte,la felicità,மகிழ்ச்சி,makiḻcci,ఆనందము,ānandaṁ,ಸಂತೋಷ
23,Feelings,hope,希望,kibō,希望,xīwàng,희망,huimang,die Hoffnung,надежда,nadezhda,l'espoir,la esperanza,la speranza,நம்பிக்கை,nampikkai,ఆశ,āśa,ಅಭಿಲಾಷೆ
24,Feelings,hunger,飢餓,kiga,饥饿,jī'è,배고픔,baegopeum,der Hunger,голод,golod,la faim,el hambre,la fame,பசி,paci,ఆకలి,ākali,ಹಸಿವು
25,Feelings,interest,関心,kanshin,兴趣,xìngqù,관심,gwansim,das Interesse,интерес,interes,l'intérêt,el interés,l'interesse,ஆர்வம்,ārvam,ఆసక్తి,āsakti,ಆಸಕ್ತಿ
26,Feelings,joy,喜び,yorokobi,喜悦,xǐyuè,기쁨,gippeum,die Freude,радость,radost',la joie,la alegría,la gioia,மகிழ்ச்சி,makiḻcci,సంతోషము,santōṣamu,ಆನಂದ
27,Feelings,kiss,キス,kisu,吻,wěn,키스,kiseu,der Kuss,поцелуй,potseluy,le baiser,el beso,il bacio,முத்தம்,muttam,ముద్దు,muddu,ಮುತ್ತು
28,Feelings,loneliness,孤独,kodoku,寂寞,jìmò,외로움,oeloum,die Einsamkeit,одиночество,odinochestvo,la solitude,la soledad,la solitudine,தனிமை,taṉimai,ఒంటరితనము,ēkākitanaṁ,ಒಂಟಿತನ
29,Feelings,love,愛,ai,爱,ài,사랑,salang,die Liebe,любовь,lyubov',l'amour,el amor,l'amore,அன்பு,aṉpu,ప్రేమ,prēma,ಪ್ರೀತಿ
30,Feelings,melancholy,憂鬱,yūutsu,忧郁,yōuyù,우울,uul,die Melancholie,меланхолия,melankholiya,la mélancolie,la melancolía,la malinconia,துக்கம்,tukkam,వ్యసనము,digulu,ಖೇದ
31,Feelings,mood,気分,kibun,心情,xīnqíng,분위기,bun-wigi,die Stimmung,настроение,nastroyeniye,l'humeur,el estado de ánimo,lo stato d'animo,மனநிலை,maṉanilai,మానసిక స్థితి,mānasika sthiti,ಮನಸ್ಥಿತಿ
32,Feelings,optimism,楽観,rakkan,乐观,lèguān,낙관론,naggwanlon,der Optimismus,оптимизм,optimizm,l'optimisme,el optimismo,l'ottimismo,நம்பிக்கை,nampikkai,ఆశావాదము,āśāvādamu,ಆಶಾಭಾವನೆ
33,Feelings,panic,パニック,panikku,恐慌,kǒnghuāng,공포,gongpo,die Panik,паника,panika,la panique,el pánico,il panico,பெரும் அச்சம்,perum accam,భీతి,bhīti,ಭಯ
34,Feelings,perplexity,当惑,tōwaku,困惑,kùnhuò,당혹감,danghoggam,die Ratlosigkeit,растерянность,rasteryannost',la perplexité,la perplejidad,la perplessità,குழப்பம்,kuḻappam,కలవరము,kalavaraṁ,ದಿಗ್ಭ್ರಮೆ
35,Feelings,rage,激怒,gekido,愤怒,fènnù,분노,bunno,die Wut,ярость,yarost',la rage,la rabia,la rabbia,ஆத்திரம்,āttiram,విపరీతమైన కోరిక,krōdhaṁ,ವಿಕೋಪ
36,Feelings,rejection,拒絶,kyozetsu,拒绝,jùjué,거부,geobu,die Ablehnung,отказ,otkaz,le refus,el rechazo,la disapprovazione,நிராகரிப்பு,nirākarippu,నిరాకరణ,tiraskāraṁ,ತಿರಸ್ಕಾರ
37,Feelings,relationship,関係,kankei,关系,guānxì,관계,gwangye,die Beziehung,отношение,otnosheniye,la relation,la relación,il rapporto,உறவு,uṟavu,సంబంధము,anubandhaṁ,ಸಂಬಂಧ
38,Feelings,request,リクエスト,rikuesuto,请求,qǐngqiú,요청,yocheong,die Aufforderung,требование,trebovaniye,la demande,la petición,la richiesta,விண்ணப்பம்,viṇṇappam,అభ్యర్థన,vinnapaṁ,ಕೋರಿಕೆ
39,Feelings,scream,悲鳴,himei,大叫,dà jiào,비명,bimyeong,der Schrei,крик,krik,le cri,el grito,il grido,அலறல்,alaṟal,అరుపు,kevvukēka,ಕೂಗು
40,Feelings,security,安心,anshin,安全,ānquán,안도감,andogam,die Geborgenheit,безопасность,bezopasnost',la sécurité,la seguridad,la sicurezza,பாதுகாப்பு,pātukāppu,భద్రత,bhadrata,ಭದ್ರತೆ
41,Feelings,shock,ショック,shokku,惊恐,jīng kǒng,충격,chung-gyeog,der Schreck,испуг,ispug,le choc,el susto,lo spavento,அதிர்ச்சி,atircci,తీవ్రమైన చికాకు దెబ్బ,ṣāk,ಅಘಾತ
42,Feelings,smile,笑顔,egao,微笑,wéixiào,미소,miso,das Lächeln,улыбка,ulybka,le sourire,la sonrisa,il sorriso,புன்னகை,puṉṉakai,మందహాసము,cirunavvu,ಮುಗುಳ್ನಗೆ
43,Feelings,tenderness,優しさ,yasashi-sa,温柔,wēnróu,다정,dajeong,die Zärtlichkeit,нежность,nezhnost',la tendresse,la ternura,la tenerezza,மென்மை,meṉmai,అపరిపక్వత,mamata,ಕೋಮಲತೆ
44,Feelings,thought,思考,shikō,思维,sīwéi,생각,saeng-gag,der Gedanke,мысль,mysl',la pensée,el pensamiento,il pensiero,சிந்தனை,cintaṉai,ఆలోచన,ālōcana,ಆಲೋಚನೆ
45,Feelings,thoughtfulness,心遣い,kokorodzukai,思考,sīkǎo,사려 깊음,salyeo gip-eum,die Nachdenklichkeit,задумчивость,zadumchivost',la réflexion,la reflexión,la riflessione,நன்றாக சிந்தித்து நடத்தல்,naṉṟāka cintittu naṭattal,ఆలోచనాపరత్వము,vivēkamu,ಪರಹಿತ ಚಿಂತನೆ
46,Animals,German shepherd,ジャーマンシェパード,jāmanshepādo,德国牧羊犬,déguó mùyáng quǎn,독일산 셰퍼드,dog-ilsan syepeodeu,der Schäferhund,овчарка,ovcharka,le berger allemand,el pastor alemán,il pastore tedesco,ஜெர்மன் ஷெப்பர்ட் நாய்,jermaṉ ṣepparṭ nāy,జర్మన్ షెపర్డ్,jarman ṣeparḍ,ಜರ್ಮನ್ ಶೆಪರ್ಡ್
47,Animals,animal,動物,dōbutsu,动物,dòngwù,동물,dongmul,das Tier,животное,zhivotnoye,l'animal,el animal,l'animale,மிருகம்,mirukam,జంతువు,jantuvu,ಪ್ರಾಣಿ
48,Animals,beak,くちばし,kuchibashi,鸟嘴,niǎo zuǐ,부리,buli,der Schnabel,клюв,klyuv,le bec,el pico,il becco,பறவையலகு,paṟavaiyalaku,పక్షిముక్కు,pakṣimukku,ಕೊಕ್ಕು
49,Animals,beaver,ビーバー,bībā,海狸,hǎilí,비버,bibeo,der Biber,бобр,bobr,le castor,el castor,il castoro,நீர்நாய்,nīrnāy,ఉభయచరము,bīvar,ಬೀವರ್
50,Animals,bite,噛みつき,kamitsuki,咬,yǎo,물림,mullim,der Biss,укус,ukus,la morsure,la mordedura,il morso,கடி,kaṭi,కాటు,kāṭu,ಕಡಿತ
51,Animals,boar,イノシシ,inoshishi,野猪,yězhū,멧돼지,mesdwaeji,das Wildschwein,кабан,kaban,le sanglier,el jabalí,il cinghiale,காட்டுப் பன்றி,kāṭṭup paṉṟi,మగ పంది,aḍavipandi,ಕಾಡುಹಂದಿ
52,Animals,cage,檻,ori,笼,lóng,우리,uli,der Käfig,клетка,kletka,la cage,la jaula,la gabbia,கூண்டு,kūṇṭu,పంజరము,pan̄jaramu,ಪಂಜರ
53,Animals,calf,子牛,koushi,小牛,xiǎo niú,송아지,song-aji,das Kalb,теленок,telenok,le veau,el becerro,il vitello,கன்றுக்குட்டி,kaṉṟukkuṭṭi,కోడెదూడ,kōḍedūḍa,ಕರು
54,Animals,cat,猫,neko,猫,māo,고양이,goyang-i,die Katze,кошка,koshka,le chat,el gato,il gatto,பூனை,pūṉai,పిల్లి,pilli,ಬೆಕ್ಕು
55,Animals,chick,ひよこ,hiyoko,小鸡,xiǎo jī,병아리,byeong-ali,das Küken,цыпленок,tsyplenok,le poussin,el pollito,il pulcino,கோழிக்குஞ்சு,kōḻikkuñcu,అప్పుడే పుట్టిన కోడి పిల్ల,kōḍi pilla,ಕೋಳಿ ಮರಿ
56,Animals,chicken,鶏,niwatori,鸡,jī,닭,dalg,das Huhn,курица,kuritsa,le poulet,el pollo,il pollo,கோழி,kōḻi,కోడి,kōḍi,ಕೋಳಿ
57,Animals,deer,鹿,shika,鹿,lù,사슴,saseum,das Reh,олень,olen',le cerf,el corzo,il capriolo,மான்,māṉ,జింక,jiṅka,ಜಿಂಕೆ
58,Animals,dog,犬,inu,狗,gǒu,개,gae,der Hund,собака,sobaka,le chien,el perro,il cane,நாய்,nāy,కుక్క,kukka,ನಾಯಿ
59,Animals,dolphin,イルカ,iruka,海豚,hǎitún,돌고래,dolgolae,der Delfin,дельфин,del'fin,le dauphin,el delfín,il delfino,டால்பின்,ṭālpiṉ,తిమింగలము,ḍālphin,ಡಾಲ್ಫಿನ್
60,Animals,duck,カモ,kamo,鸭子,yāzi,오리,oli,die Ente,утка,utka,le canard,el pato,l'anatra,வாத்து,vāttu,బాతు,bātu,ಬಾತು
61,Animals,eagle,ワシ,washi,老鹰,lǎoyīng,독수리,dogsuli,der Adler,орел,orel,l'aigle,el águila,l'aquila,கழுகு,kaḻuku,గరుడపక్షి,ḍēga,ಗರುಡ
62,Animals,feather,羽,hane,羽毛,yǔmáo,깃털,gisteol,die Feder,перо,pero,la plume,la pluma,la piuma,இறகு,iṟaku,రెక్క,īka,ಪುಕ್ಕ
63,Animals,flamingo,フラミンゴ,furamingo,火烈鸟,huǒ liè niǎo,홍학,honghag,der Flamingo,фламинго,flamingo,le flamant rose,el flamenco,il fenicottero,செந்நாரை,cennārai,రాజహంస,phlemiṅgō,ಫ್ಲೆಮಿಂಗೊ
64,Animals,foal,子馬,kouma,小马驹,xiǎo mǎ jū,망아지,mang-aji,das Fohlen,жеребенок,zherebenok,le poulain,el potro,il puledro,குதிரைக் குட்டி,kutiraik kuṭṭi,గాడిదపిల్ల,gāḍidapilla,ಕುದುರೆ ಮರಿ
65,Animals,food,食べ物,tabemono,食物,shíwù,음식,eumsig,das Futter,корм,korm,l'aliment,el alimento,il mangime,உணவு,uṇavu,ఆహారము,āhāramu,ಆಹಾರ
66,Animals,fox,キツネ,kitsune,狐狸,húlí,여우,yeou,der Fuchs,лиса,lisa,le renard,el zorro,la volpe,நரி,nari,నక్క,nakka,ನರಿ
67,Animals,goat,ヤギ,yagi,山羊,shānyáng,염소,yeomso,die Ziege,коза,koza,la chèvre,la cabra,la capra,வெள்ளாடு,veḷḷāṭu,మేక,mēka,ಮೇಕೆ
68,Animals,goose,ガチョウ,gachō,鹅,é,거위,geowi,die Gans,гусь,gus',l'oie,el ganso,l'oca,பெண் வாத்து,peṇ vāttu,హంస,bātu,ಬಾತುಕೋಳಿ
69,Animals,hare,野ウサギ,nousagi,兔,tù,토끼,tokki,der Hase,заяц,zayats,le lièvre,la liebre,la lepre,பெரிய முயல்,periya muyal,కుందేలు,kundēlu,ಮೊಲ
70,Animals,hen,めんどり,mendori,母鸡,mǔ jī,암탉,amtalg,die Henne,курица,kuritsa,la poule,la gallina,la gallina,கோழி,kōḻi,ఆడకోడి,kōṭipeṭṭa,ಕೋಳಿ
71,Animals,heron,鷺,sagi,苍鹭,cāng lù,왜가리,waegali,der Reiher,цапля,tsaplya,le héron,la garza,l'airone,சாம்பல் நாரை,cāmpal nārai,నారాయణపక్షి,koṅga,ಕ್ರೌಂಚ ಪಕ್ಷಿ
72,Animals,horn,角,tsuno,角,jiǎo,뿔,ppul,das Horn,рог,rog,la corne,el cuerno,il corno,கொம்பு,kompu,కొమ్ము,kom'mu,ಕೊಂಬು
73,Animals,horseshoe,馬蹄,batei,马蹄铁,mǎtítiě,말굽,malgub,das Hufeisen,подкова,podkova,le fer à cheval,la herradura,il ferro di cavallo,குதிரை லாடம்,kutirai lāṭam,గుర్రపు నాడా,gurrapu nāḍā,ಲಾಳ
74,Animals,lamb,子羊,kohitsuji,羔羊,gāoyáng,새끼 양,saekki yang,das Lamm,ягненок,yagnenok,l'agneau,el cordero,l'agnello,செம்மறி ஆட்டு குட்டி,cem'maṟi āṭṭu kuṭṭi,గొఱ్ఱె పిల్ల,goṟṟe pilla,ಕುರಿಮರಿ
75,Animals,leash,リーシュ,rīshu,拴狗带,shuān gǒu dài,가죽끈,gajugkkeun,die Hundeleine,поводок,povodok,la laisse,la correa,il guinzaglio,தோல்வார்,tōlvār,వేటగాడు,paṭṭī,ಸರಪಳಿ
76,Animals,lobster,ロブスター,robusutā,龙虾,lóngxiā,바닷가재,badasgajae,der Hummer,омар,omar,le homard,la langosta,l'aragosta,சிங்க இறால்,ciṅka iṟāl,ఎండ్రకాయలాంటి సముద్రపు పీత,samudrapu pīta,ಏಡಿ
77,Animals,love of animals,動物の愛,dōbutsu no ai,动物爱好者,dòngwù àihào zhě,동물의 사랑,dongmul-ui salang,die Tierliebe,любовь к животным,lyubov' k zhivotnym,l'amour des animaux,el amor por los animales,l'amore per gli animali,விலங்குகள்மீது அன்பு,vilaṅkukaḷmītu aṉpu,జంతువుల ప్రేమ,jantu prēma,ಪ್ರಾಣಿ ಪ್ರೀತಿ
78,Animals,monkey,猿,saru,猴子,hóuzi,원숭이,wonsung-i,der Affe,обезьяна,obez'yana,le singe,el mono,la scimmia,குரங்கு,kuraṅku,కోతి,kōti,ಕೋತಿ
79,Animals,muzzle,口輪,kuchiwa,口套,kǒu tào,입마개,ibmagae,der Maulkorb,намордник,namordnik,le museau,el bozal,il muso,வாய்க்கட்டு,vāykkaṭṭu,తుపాకీ గొట్టము,cikkaṁ,ಬಾಯಿ ಕುಕ್ಕೆ
80,Animals,nest,巣,su,巢,cháo,둥지,dungji,das Nest,гнездо,gnezdo,le nid,el nido,il nido,கூடு,kūṭu,పక్షిగూడు,pakṣigūḍu,ಗೂಡು
81,Animals,owl,フクロウ,fukurō,猫头鹰,māotóuyīng,올빼미,olppaemi,die Eule,сова,sova,le hibou,el búho,il gufo,ஆந்தை,āntai,గుడ్ల గూబ,guḍla gūba,ಗೂಬೆ
82,Animals,parrot,オウム,ōmu,鹦鹉,yīngwǔ,앵무새,aengmusae,der Papagei,попугай,popugay,le perroquet,el loro,il pappagallo,கிளி,kiḷi,శుకము,ciluka,ಗಿಣಿ
83,Animals,peacock,クジャク,kujaku,孔雀,kǒngquè,공작,gongjag,der Pfau,павлин,pavlin,le paon,el pavo real,il pavone,ஆண் மயில்,āṇ mayil,నెమలి,nemali,ನವಿಲು
84,Animals,pelican,ペリカン,perikan,鹈鹕,tí hú,펠리컨,pellikeon,der Pelikan,пеликан,pelikan,le pélican,el pelícano,il pellicano,நாரை,nārai,గూడకొంగ,gūḍakoṅga,ನೀರು ಕೋಳಿ
85,Animals,penguin,ペンギン,pengin,企鹅,qì'é,펭귄,peng-gwin,der Pinguin,пингвин,pingvin,le pingouin,el pingüino,il pinguino,பென்குவின்,peṉkuviṉ,కాళ్లపై నడిచే సముద్రపు పక్షి,peṅgḍin,ಪೆಂಗ್ವಿನ್
86,Animals,pet,ペット,petto,宠物,chǒngwù,애완 동물,aewan dongmul,das Haustier,домашнее животное,domashneye zhivotnoye,l'animal de compagnie,la mascota,l'animale domestico,செல்லப் பிராணி,cellap pirāṇi,పెంపుడు జంతువు,pempuḍu jantuvu,ಸಾಕುಪ್ರಾಣಿ
87,Animals,pigeon,ハト,hato,鸽子,gēzi,비둘기,bidulgi,die Taube,голубь,golub',le pigeon,la paloma,il piccione,புறா,puṟā,పావురము,pāvuramu,ಪಾರಿವಾಳ
88,Animals,rabbit,ウサギ,usagi,家兔,jiā tù,토끼,tokki,das Kaninchen,кролик,krolik,le lapin,el conejo,il coniglio,முயல்,muyal,కుందేలు,kundēlu,ಕುಂದಿಲಿ/ಮೊಲ
89,Animals,rooster,おんどり,ondori,公鸡,gōngjī,수탉,sutalg,der Hahn,петух,petukh,le coq,el gallo,il gallo,சேவல்,cēval,పక్షులు నిద్రించు చోటు,kōṭipun̄ju,ಹುಂಜ
90,Animals,sea lion,アシカ,ashika,海狮,hǎishī,바다사자,badasaja,der Seelöwe,морской лев,morskoy lev,le lion de mer,el león marino,l'otaria,கடல் சிங்கம்,kaṭal ciṅkam,సముద్ర సింహము,samudra sinhamu,ಸಮುದ್ರಸಿಂಹ
91,Animals,seagull,鴎,kamome,海鸥,hǎi'ōu,갈매기,galmaegi,die Möwe,чайка,chayka,la mouette,la gaviota,il gabbiano,கடற்பறவை,kaṭaṟpaṟavai,సముద్రపు కాకి,samudrapu kāki,ಕಡಲ ಗಲ್ ಹಕ್ಕಿ
92,Animals,seal,アザラシ,azarashi,海豹,hǎibào,물개,mulgae,der Seehund,тюлень,tyulen',le phoque,la foca,la foca,கடல் நாய்,kaṭal nāy,ఉభయచరము,sīl mr̥gaṁ,ಸೀಲ್
93,Animals,sheep,羊,hitsuji,羊,yáng,양,yang,das Schaf,овца,ovtsa,le mouton,la oveja,la pecora,செம்மறியாடு,cem'maṟiyāṭu,గొర్రె,gorre,ಕುರಿ
94,Animals,snake,ヘビ,hebi,蛇,shé,뱀,baem,die Schlange,змея,zmeya,le serpent,la serpiente,il serpente,பாம்பு,pāmpu,పాము,pāmu,ಹಾವು
95,Animals,stork,コウノトリ,kōnotori,鹤,hè,황새,hwangsae,der Storch,аист,aist,la cigogne,la cigüeña,la cicogna,நாரை,nārai,కొంగ,koṅga,ಕೊಕ್ಕರೆ
96,Animals,swan,白鳥,Shiratori,天鹅,tiān'é,백조,baegjo,der Schwan,лебедь,lebed',le cygne,el cisne,il cigno,அன்ன பறவை,aṉṉa paṟavai,హంస,hansa,ಹಂಸ
97,Animals,trout,鱒,masu,鳟鱼,zūn yú,송어,song-eo,die Forelle,форель,forel',la truite,la trucha,la trota,திரௌத்து மீன்,tirauttu mīṉ,జల్ల చేప,jalla cēpa,ಟ್ರೌಟ್ ಮೀನು
98,Animals,turkey,七面鳥,shichimenchō,火鸡,huǒ jī,칠면조,chilmyeonjo,der Truthahn,индюк,indyuk,la dinde,el pavo,il tacchino,வான்கோழி,vāṉkōḻi,సీమ కోడి,ṭarkī kōḍi,ಟರ್ಕಿ ಕೋಳಿ
99,Animals,turtle,カメ,kame,乌龟,wūguī,거북,geobug,die Schildkröte,черепаха,cherepakha,la tortue,la tortuga,la tartaruga,கடல் ஆமை,kaṭal āmai,సముద్రపు తాబేలు,tābēlu,ಆಮೆ
100,Animals,vulture,ハゲワシ,hagewashi,秃鹫,tūjiù,독수리,dogsuli,der Geier,коршун,korshun,le vautour,el buitre,l'avvoltoio,கழுகு,kaḻuku,రాబందు,rābandu,ರಣಹದ್ದು
101,Animals,wolf,オオカミ,ōkami,狼,láng,늑대,neugdae,der Wolf,волк,volk,le loup,el lobo,il lupo,ஓநாய்,ōnāy,తోడేలు,tōḍēlu,ತೋಳ
102,Sports,acrobatics,アクロバット,akurobatto,杂技,zájì,곡예,gog-ye,die Akrobatik,акробатика,akrobatika,les acrobaties,las acrobacias,le acrobazie,களரி பயிற்சி,kaḷari payiṟci,విన్యాసాలు,vin'yāsālu,ದೊಂಬರಾಟ
103,Sports,aerobics,エアロビクス,earobikusu,健美操,jiànměi cāo,에어로빅,eeolobig,das Aerobic,аэробика,aerobika,l'aérobic,el aeróbic,l'aerobica,ஏரோபிக்ஸ் உடற்பயிற்சி,ērōpiks uṭaṟpayiṟci,ప్రాణ వాయువును ఎక్కువగా పీల్చే వ్యాయామ ప్రక్రియలు,gāli kasarattulu,ಏರೊಬಿಕ್ಸ್
104,Sports,athletics,陸上競技,rikujō kyōgi,田径,tiánjìng,운동 경기,undong gyeong-gi,die Leichtathletik,легкая атлетика,legkaya atletika,l'athlétisme,el atletismo,l'atletica,தடகளம்,taṭakaḷam,వ్యాయామ క్రీడలు,athleṭiks,ವ್ಯಾಯಾಮ
105,Sports,badminton,バドミントン,badominton,羽毛球,yǔmáoqiú,배드민턴,baedeuminteon,das Badminton,бадминтон,badminton,le badminton,el bádminton,il volano,பூப்பந்தாட்டம்,pūppantāṭṭam,బ్యాట్మింటన్,byāḍmiṇṭan,ಬ್ಯಾಡ್ ಮಿಂಟನ್
106,Sports,balance,バランス,baransu,平衡,pínghéng,균형,gyunhyeong,die Balance,равновесие,ravnovesiye,l'équilibre,el equilibrio,l'equilibrio,சமநிலை,camanilai,సమతుల్యత,byālens,ಸಮತೋಲ/ತಕ್ಕಡಿ
107,Sports,ball,ボール,bōru,球,qiú,공,gong,der Ball,мяч,myach,la balle,el balón,la palla,பந்து,pantu,బంతి,banti,ಚೆಂಡು
108,Sports,baseball,野球,yakyū,棒球,bàngqiú,야구,yagu,das Baseballspiel,бейсбол,beysbol,le base-ball,el béisbol,il baseball,பேஸ்பால்,pēspāl,బేస్ బాలు,bēs bāl,ಬೇಸ್ ಬಾಲ್
109,Sports,basketball,バスケットボール,basukettobōru,篮球,lánqiú,농구,nong-gu,der Basketball,баскетбол,basketbol,le basket-ball,el baloncesto,la pallacanestro,கூடைப்பந்தாட்டம்,kūṭaippantāṭṭam,బాస్కెట్ బాల్,bāskeṭ bāl,ಬ್ಯಾಸ್ಕೆಟ್ ಬಾಲ್
110,Sports,billiard ball,ビリヤードボール,biriyādobōru,台球,táiqiú,당구 공,dang-gu gong,die Billardkugel,бильярдный шар,bil'yardnyy shar,la boule de billard,la bola de billar,la palla da biliardo,பில்லியார்டு பந்து,pilliyārṭu pantu,బిలియర్డ్స్ బంతి,biliyarḍs bāl,ಬಿಲಿಯರ್ಡ್ ಚೆಂಡು
111,Sports,billiards,ビリヤード,biriyādo,台球,táiqiú,당구,dang-gu,das Billiard,бильярд,bil'yard,le billard,el billar,biliardo,பில்லியார்டுகள்,pilliyārṭukaḷ,బిలియర్డ్స్,biliyarḍs,ಬಿಲಿಯರ್ಡ್ಸ್
112,Sports,boxing,ボクシング,bokushingu,拳击,quánjí,권투,gwontu,der Boxsport,бокс,boks,la boxe,el boxeo,il pugilato,குத்துச் சண்டை,kuttuc caṇṭai,మల్ల యుద్ధము,bākpiṅg,ಮುಷ್ಟಿಕಾಳಗ
113,Sports,boxing glove,ボクシング​​グローブ,bokushingu gurōbu,拳击手套,quánjí shǒutào,권투 장갑,gwontu jang-gab,der Boxhandschuh,боксерская перчатка,bokserskaya perchatka,le gant de boxe,el guante de boxeo,il guantone da box,குத்துச்சண்டை கையுறை,kuttuccaṇṭai kaiyuṟai,మల్లయుద్దము యొక్క చేతితొడుగు,bākpiṅg glōv,ಮುಷ್ಟಿಕಾಳಗದ ಕೈಚೀಲ
